Reg.code;Region;FO;Y.ORTorg.2012;KMPred.2012;Pers.comp.2012;RKBS.2011;RDDN.2012
1000;Российская Федеpация;NA;149401;140;43;7679,1;105,8
1001;Центpальный ФО;ЦФО;188757;146;50;NA;104,4
31;Белгородская область;ЦФО;129904;142;34;83780,3;110,8
32;Бpянская область;ЦФО;121136;91;33;38633,2;107
33;Владимиpская область;ЦФО;103848;125;37;45900,8;106,7
36;Воронежская область;ЦФО;139133;95;39;79522,7;114,1
37;Ивановская область;ЦФО;109822;173;42;33620,5;115,7
40;Калужская область;ЦФО;133102;125;43;47831,6;110,4
44;Костpомская область;ЦФО;95792;127;42;23567,6;102,7
46;Курская область;ЦФО;117703;89;37;44058,1;108,3
48;Липецкая область;ЦФО;134049;105;36;44704,2;112
50;Московская область1);ЦФО;179869;106;42;342532;112,9
57;Оpловская область;ЦФО;105501;100;39;25846,4;107,2
62;Рязанская область;ЦФО;112985;129;37;44689,4;113,4
67;Смоленская область;ЦФО;123289;139;35;38527,3;108,7
68;Тамбовская область;ЦФО;122576;80;38;38311,4;109,2
69;Твеpская область;ЦФО;120844;141;37;54760,4;109
71;Тульская область;ЦФО;124580;151;36;46961,9;107
76;Яpославская область;ЦФО;114121;212;42;56196;113,5
77;г. Москва1);ЦФО;305395;201;72;1400528,4;98,6
1002;Севеpо-Западный ФО;СЗФО;143732;236;46;NA;105,9
10;Республика Каpелия;СЗФО;122886;146;50;36094;108,7
11;Республика Коми;СЗФО;155776;139;38;59331,1;106,1
83;Ненецкий автономный округ;СЗФО;145446;122;39;68418,8;104,5
29;Архангельская область без АО;СЗФО;135625;103;39;58351,9;110,9
35;Вологодская область;СЗФО;104966;85;42;48614,7;110,6
39;Калининградская область;СЗФО;114980;255;46;80124,4;110,3
47;Ленингpадская область;СЗФО;132297;117;34;55817,8;108
51;Муpманская область;СЗФО;157480;79;42;28101;107,6
53;Новгоpодская область;СЗФО;122628;124;39;28302,2;109,8
60;Псковская область;СЗФО;115337;112;36;409315,5;109,4
78;г. Санкт-Петеpбуpг;СЗФО;169270;420;55;11475,6;103
1003;Южный ФО;ЮФО;138131;109;42;NA;107
1;Республика Адыгея;ЮФО;129374;82;40;13836,3;114,1
8;Республика Калмыкия;ЮФО;51125;31;49;9741,3;107,1
23;Краснодарский край;ЮФО;153806;103;46;226523,1;107,6
30;Астраханская область;ЮФО;131101;89;42;35134,4;106
34;Волгоградская область;ЮФО;107858;105;39;86319,8;105,3
61;Ростовская область;ЮФО;145419;132;40;137693;106,4
1004;Севеpо-Кавказский ФО;СКФО;114718;53;36;NA;109
5;Республика Дагестан;СКФО;135860;26;33;75070,6;107,5
6;Республика Ингушетия;СКФО;33021;30;43;17027,5;107,2
7;Кабардино-Балкарская Республика;СКФО;93771;50;35;25091,4;101,7
9;Карачаево-Черкесская Республика;СКФО;70974;54;36;15940,4;108,8
15;Республика Северная Осетия - Алания;СКФО;108101;88;32;21228,8;111,4
20;Чеченская Республика;СКФО;69225;47;37;80791,8;105,2
26;Ставропольский край;СКФО;142205;79;38;83991,1;112,7
1005;Приволжский ФО;ПФО;131367;120;39;NA;108
2;Республика Башкортостан;ПФО;156044;96;37;140653,7;106,6
12;Республика Маpий Эл;ПФО;81095;110;35;22853,7;105,2
13;Республика Моpдовия;ПФО;70185;87;38;41600,5;103,5
16;Республика Татарстан;ПФО;170670;125;38;206824,1;114,2
18;Удмуртская Республика;ПФО;103388;129;38;54231;107,4
21;Чувашская Республика;ПФО;87331;112;38;37065,1;109
59;Пермский край;ПФО;152587;130;42;108196;103
43;Киpовская область;ПФО;99190;151;40;49787,6;106
52;Нижегородская область;ПФО;146559;117;40;132119,3;110,9
56;Оренбургская область;ПФО;105992;90;34;78709,2;105,7
58;Пензенская область;ПФО;102798;126;42;52127,5;105,9
63;Самарская область;ПФО;156220;162;40;142756,4;109
64;Саратовская область;ПФО;97340;111;40;84158,9;104
73;Ульяновская область;ПФО;103846;124;39;41716,9;107,9
1006;Уральский ФО;УФО;169676;150;39;NA;105
45;Курганская область;УФО;98070;82;39;33038,3;104,2
66;Свердловская область;УФО;199179;177;41;189927,2;105,9
86;Ханты-Мансийский автономный округ Югра;УФО;192753;184;40;171539,8;106,3
89;Ямало-Ненецкий автономный округ;УФО;201376;162;37;127063,8;104,5
72;Тюменская область без АО;УФО;187416;126;37;192483,8;110,6
74;Челябинская область;УФО;133717;101;36;145642;101,8
1007;Сибирский ФО;СФО;120963;144;41;NA;105,2
4;Республика Алтай;СФО;75583;119;51;15984,1;98,7
3;Республика Бурятия;СФО;116893;106;41;44660,4;103,3
17;Республика Тыва;СФО;48949;49;41;16689,3;103,5
19;Республика Хакасия;СФО;106164;107;41;23803,7;106,8
22;Алтайский край;СФО;105754;149;37;80889,6;103,6
75;Забайкальский край;СФО;105860;49;39;48942,9;103,1
24;Красноярский край;СФО;149112;180;44;193253,2;104,6
38;Иркутская область;СФО;103165;103;41;103870,8;104,8
42;Кемеровская область;СФО;115686;122;32;131550,1;103,9
54;Новосибирская область;СФО;147816;222;48;114525,3;108,9
55;Омская область;СФО;133668;133;40;70807;107,7
70;Томская область;СФО;99139;192;52;51712,8;103,1
1008;Дальневосточный ФО;ДВФО;130765;148;43;NA;104,9
14;Республика Саха (Якутия);ДВФО;135106;130;41;121584,4;105,9
41;Камчатский край;ДВФО;125603;160;50;53664,8;103,6
25;Приморский край;ДВФО;110100;157;39;101591,2;105,1
27;Хабаровский край;ДВФО;137596;170;47;80112,5;102,7
28;Амурская область;ДВФО;127200;104;36;54375,5;113,3
49;Магаданская область;ДВФО;126320;198;59;21854,1;110,5
65;Сахалинская область;ДВФО;209149;164;46;63060,4;98,7
79;Еврейская автономная область;ДВФО;98243;92;47;9263;102,2
87;Чукотский автономный округ;ДВФО;113267;105;52;18884,6;105,9
